start,end,url
0.05,3.30,https://www.youtube.com/watch?v=GoUOny9HoSE
0.05,3.35,https://www.youtube.com/watch?v=bCtFIM80oJE
0.07,21.52,https://www.youtube.com/watch?v=cytY3YH1f2I
0.10,16.25,https://www.youtube.com/watch?v=MrPEnikb2Rk
0.02,2.48,https://www.youtube.com/watch?v=7KAan82-uEk
0.07,2.16,https://www.youtube.com/watch?v=oaBmh9r55L8
0.15,3.31,https://www.youtube.com/watch?v=FACbLjka6A0
0.07,1.25,https://www.youtube.com/watch?v=1nMYESsiY8M
0.06,4.44,https://www.youtube.com/watch?v=A_M0yeKq8Uk
0.00,nan,https://www.youtube.com/watch?v=_vFpFuhd2OY
0.07,3.38,https://www.youtube.com/watch?v=Xf-zrQ7Fo-Y
0.00,3.33,https://www.youtube.com/watch?v=8nBI5uMLmcU
0.07,2.38,https://www.youtube.com/watch?v=_PLImsIt3Ig
0.03,8.42,https://www.youtube.com/watch?v=Yvs-fvCHJ-o
